Order ID,Order Date,Customer ID,Category,Sub-Category,Product Name,Sales,Profit
CA-2016-152156,08-11-2016,CG-12520,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,41.9136
CA-2016-152156,08-11-2016,CG-12520,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.582
CA-2016-138688,12-06-2016,DV-13045,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.8714
US-2015-108966,11-10-2015,SO-20335,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031
US-2015-108966,11-10-2015,SO-20335,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.5164
CA-2014-115812,09-06-2014,BH-11710,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.1694
CA-2014-115812,09-06-2014,BH-11710,Office Supplies,Art,Newell 322,7.28,1.9656
CA-2014-115812,09-06-2014,BH-11710,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,90.7152
CA-2014-115812,09-06-2014,BH-11710,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.7825
CA-2014-115812,09-06-2014,BH-11710,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47
CA-2014-115812,09-06-2014,BH-11710,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,85.3092
CA-2014-115812,09-06-2014,BH-11710,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,68.3568
CA-2017-114412,15-04-2017,AA-10480,Office Supplies,Paper,Xerox 1967,15.552,5.4432
CA-2016-161389,05-12-2016,IM-15070,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922
US-2015-118983,22-11-2015,HP-14815,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.858
US-2015-118983,22-11-2015,HP-14815,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816
CA-2014-105893,11-11-2014,PK-19075,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.3176
CA-2014-167164,13-05-2014,AG-10270,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,9.99
CA-2014-143336,27-08-2014,ZD-21925,Office Supplies,Art,Newell 341,8.56,2.4824
CA-2014-143336,27-08-2014,ZD-21925,Technology,Phones,Cisco SPA 501G IP Phone,213.48,16.011
CA-2014-143336,27-08-2014,ZD-21925,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,7.384
CA-2016-137330,09-12-2016,KB-16585,Office Supplies,Art,Newell 318,19.46,5.0596
CA-2016-137330,09-12-2016,KB-16585,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,15.6884
